ID;Default;Loan_Type;Gender;Degree;Citizenship;Age;Income;Credit_Score;Loan_Length;Signers
1;0;Car ;Female;HS      ;Citizen    ;30;114885;641;0;2
2;0;Home;Female;HS      ;Citizen    ;43;95770;534;7;2
3;0;Home;Male  ;HS      ;Citizen    ;39;94220;558;5;2
4;0;Home;Male  ;College ;Citizen    ;39;58946;622;7;2
5;0;Car ;Female;HS      ;Citizen    ;42;79754;702;2;1
6;0;Car ;Female;Graduate;Non-citizen;57;119627;624;3;2
7;0;Car ;Male  ;HS      ;Citizen    ;41;78765;594;3;2
8;0;Car ;Female;HS      ;Non-citizen;53;123167;652;2;2
9;0;Car ;Female;HS      ;Citizen    ;44;116175;694;3;2
10;0;Car ;Female;College ;Citizen    ;57;111085;586;3;2
11;0;Car ;Male  ;HS      ;Citizen    ;50;54387;593;2;2
12;0;Car ;Male  ;HS      ;Citizen    ;39;89468;600;0;2
13;0;Car ;Male  ;HS      ;Citizen    ;52;118613;622;0;2
14;0;Car ;Male  ;HS      ;Citizen    ;37;84429;615;0;2
15;0;Car ;Female;College ;Citizen    ;46;113281;577;3;2
16;0;Home;Female;College ;Citizen    ;45;93253;580;10;1
17;0;Car ;Male  ;College ;Citizen    ;45;89304;665;3;1
18;0;Car ;Male  ;College ;Citizen    ;45;126260;638;1;2
19;0;Car ;Male  ;HS      ;Citizen    ;42;77616;655;3;2
20;0;Car ;Female;HS      ;Citizen    ;34;88568;630;0;2
21;0;Car ;Male  ;HS      ;Citizen    ;47;118155;730;3;1
22;0;Car ;Female;College ;Citizen    ;50;132630;625;3;2
23;0;Home;Male  ;HS      ;Citizen    ;46;99880;551;8;2
24;1;Home;Female;Graduate;Citizen    ;53;118848;701;8;1
25;1;Home;Female;College ;Citizen    ;36;109327;682;8;1
26;0;Car ;Female;HS      ;Citizen    ;41;90653;641;0;2
27;0;Car ;Female;Graduate;Non-citizen;44;122276;709;3;1
28;0;Car ;Male  ;College ;Citizen    ;36;97064;564;2;2
29;0;Car ;Female;College ;Citizen    ;41;107481;632;1;2
30;0;Car ;Female;College ;Citizen    ;45;113738;625;2;1
31;0;Car ;Male  ;HS      ;Citizen    ;46;90207;663;3;2
32;0;Car ;Female;Graduate;Citizen    ;55;120783;585;3;1
33;0;Home;Male  ;HS      ;Citizen    ;41;104234;586;7;2
34;1;Car ;Female;College ;Citizen    ;46;106650;697;3;2
35;0;Home;Male  ;College ;Citizen    ;56;109333;586;11;2
36;0;Car ;Male  ;HS      ;Citizen    ;41;114009;780;3;2
37;0;Car ;Female;College ;Citizen    ;33;73802;551;1;2
38;0;Car ;Male  ;HS      ;Citizen    ;44;93651;639;1;2
39;1;Home;Male  ;HS      ;Citizen    ;36;90710;667;5;2
